,rank,name,team,G,SBA,SB,CS,SB%,OOB,PKO
0,1,오지환,LG,138,35,25,10,71.4,7,1
1,2,김용의,LG,71,17,11,6,64.7,2,1
2,2,박용택,LG,128,15,11,4,73.3,2,1
3,4,문선재,LG,103,15,9,6,60.0,3,0
4,4,정성훈,LG,117,13,9,4,69.2,4,0
5,6,히메네스,LG,70,10,8,2,80.0,2,1
6,7,양석환,LG,125,12,6,6,50.0,3,1
7,8,박지규,LG,102,8,5,3,62.5,2,0
8,8,서상우,LG,58,6,5,1,83.3,2,1
9,10,손주인,LG,98,7,3,4,42.9,2,1
10,10,임훈,LG,88,5,3,2,60.0,4,0
11,10,채은성,LG,90,6,3,3,50.0,2,0
12,10,최경철,LG,109,4,3,1,75.0,5,0
13,14,유강남,LG,126,3,2,1,66.7,2,0
14,14,이병규,LG,70,3,2,1,66.7,0,0
15,14,이진영,LG,103,6,2,4,33.3,2,0
16,14,황목치승,LG,24,2,2,0,100,0,0
17,18,강병의,LG,8,3,1,2,33.3,0,0
18,18,안익훈,LG,50,2,1,1,50.0,3,0
19,18,윤진호,LG,30,1,1,0,100,2,0
20,21,김영관,LG,20,0,0,0,-,0,0
21,21,김재성,LG,9,0,0,0,-,1,0
22,21,김재율,LG,1,0,0,0,-,0,0
23,21,김지용,LG,3,0,0,0,-,0,0
24,21,나성용,LG,40,0,0,0,-,1,0
25,21,박성준,LG,11,0,0,0,-,1,0
26,21,백창수,LG,25,0,0,0,-,0,1
27,21,봉중근,LG,6,0,0,0,-,0,0
28,21,신승현,LG,1,0,0,0,-,0,0
29,21,양원혁,LG,3,0,0,0,-,0,0
30,21,유원상,LG,1,0,0,0,-,0,0
31,21,이동현,LG,4,0,0,0,-,0,0
32,21,이민재,LG,28,1,0,1,0.0,1,1
33,21,이병규,LG,54,0,0,0,-,0,0
34,21,이준형,LG,1,0,0,0,-,0,0
35,21,장준원,LG,20,0,0,0,-,1,0
36,21,조윤준,LG,7,0,0,0,-,0,0
37,21,진해수,LG,1,0,0,0,-,0,0
38,21,최동환,LG,1,0,0,0,-,0,0
39,21,최승준,LG,8,0,0,0,-,0,0
40,21,한나한,LG,32,0,0,0,-,1,0
