,name,SBA,SB%,OOB
0,강구성,0,0.0,0
1,강민국,0,0.0,0
2,강장산,0,0.0,0
3,고창성,0,0.0,0
4,김성욱,6,50.0,2
5,김종호,51,80.3921568627451,4
6,김준완,3,66.66666666666666,0
7,김태군,2,50.0,3
8,김태진,0,0.0,0
9,나성범,27,85.18518518518519,4
10,노성호,0,0.0,0
11,노진혁,0,0.0,0
12,마낙길,1,0.0,0
13,모창민,5,100.0,3
14,민성기,0,0.0,0
15,박광열,1,0.0,1
16,박민우,62,74.19354838709677,3
17,박정준,0,0.0,0
18,손민한,0,0.0,0
19,손시헌,5,60.0,4
20,용덕한,3,66.66666666666666,1
21,윤병호,0,0.0,0
22,이민호,0,0.0,0
23,이종욱,21,80.95238095238095,3
24,이창섭,0,0.0,0
25,이태양,0,0.0,0
26,이혜천,0,0.0,0
27,이호준,2,0.0,5
28,임정호,0,0.0,0
29,임창민,0,0.0,0
30,조영훈,3,100.0,0
31,조평호,0,0.0,0
32,지석훈,5,80.0,6
33,최금강,0,0.0,0
34,최재원,19,73.68421052631578,1
35,테임즈,48,83.33333333333334,10
36,황윤호,0,0.0,0
