,name,SBA,SB%,OOB
0,고효준,0,0.0,0
1,김강민,11,63.63636363636363,2
2,김기현,0,0.0,0
3,김민식,0,0.0,0
4,김성현,5,20.0,5
5,김연훈,1,0.0,2
6,김재현,8,87.5,1
7,나주환,8,37.5,3
8,박계현,18,55.55555555555556,2
9,박윤,0,0.0,0
10,박재상,9,44.44444444444444,5
11,박정권,6,50.0,5
12,박정배,0,0.0,0
13,박진만,2,0.0,3
14,박철우,0,0.0,0
15,브라운,7,71.42857142857143,8
16,서진용,0,0.0,0
17,신재웅,0,0.0,0
18,안정광,0,0.0,0
19,유서준,4,75.0,0
20,윤길현,0,0.0,0
21,윤중환,1,0.0,0
22,이대수,1,0.0,0
23,이명기,32,68.75,6
24,이재영,0,0.0,0
25,이재원,4,25.0,5
26,이진석,1,0.0,0
27,이창욱,0,0.0,0
28,이한진,0,0.0,0
29,이현석,0,0.0,0
30,정상호,3,33.33333333333333,5
31,정우람,0,0.0,0
32,정의윤,5,100.0,5
33,조동화,21,85.71428571428571,1
34,채병용,0,0.0,0
35,최정,7,71.42857142857143,1
36,최정민,0,0.0,0
37,허웅,0,0.0,0
38,홍명찬,0,0.0,0
