,rank,name,team,G,SBA,SB,CS,SB%,OOB,PKO
0,1,이명기,SK,137,32,22,10,68.8,6,3
1,2,조동화,SK,119,21,18,3,85.7,1,1
2,3,박계현,SK,97,18,10,8,55.6,2,1
3,4,김강민,SK,96,11,7,4,63.6,2,1
4,4,김재현,SK,46,8,7,1,87.5,1,0
5,6,브라운,SK,137,7,5,2,71.4,8,0
6,6,정의윤,SK,91,5,5,0,100,5,0
7,6,최정,SK,81,7,5,2,71.4,1,0
8,9,박재상,SK,108,9,4,5,44.4,5,1
9,10,나주환,SK,96,8,3,5,37.5,3,0
10,10,박정권,SK,124,6,3,3,50.0,5,1
11,10,유서준,SK,17,4,3,1,75.0,0,0
12,13,김성현,SK,129,5,1,4,20.0,5,2
13,13,이재원,SK,140,4,1,3,25.0,5,1
14,13,정상호,SK,113,3,1,2,33.3,5,1
15,16,고효준,SK,1,0,0,0,-,0,0
16,16,김기현,SK,9,0,0,0,-,0,0
17,16,김민식,SK,23,0,0,0,-,0,1
18,16,김연훈,SK,49,1,0,1,0.0,2,0
19,16,박윤,SK,17,0,0,0,-,0,0
20,16,박정배,SK,1,0,0,0,-,0,0
21,16,박진만,SK,78,2,0,2,0.0,3,0
22,16,박철우,SK,19,0,0,0,-,0,0
23,16,서진용,SK,1,0,0,0,-,0,0
24,16,신재웅,SK,2,0,0,0,-,0,0
25,16,안정광,SK,10,0,0,0,-,0,0
26,16,윤길현,SK,1,0,0,0,-,0,0
27,16,윤중환,SK,15,1,0,1,0.0,0,0
28,16,이대수,SK,36,1,0,1,0.0,0,0
29,16,이재영,SK,1,0,0,0,-,0,0
30,16,이진석,SK,6,1,0,1,0.0,0,0
31,16,이창욱,SK,1,0,0,0,-,0,0
32,16,이한진,SK,1,0,0,0,-,0,0
33,16,이현석,SK,3,0,0,0,-,0,0
34,16,정우람,SK,5,0,0,0,-,0,0
35,16,채병용,SK,1,0,0,0,-,0,0
36,16,최정민,SK,8,0,0,0,-,0,1
37,16,허웅,SK,18,0,0,0,-,0,0
38,16,홍명찬,SK,5,0,0,0,-,0,0
