,rank,name,team,G,SBA,SB,CS,SB%,OOB,PKO
0,1,오재원,두산,120,39,31,8,79.5,3,2
1,2,정수빈,두산,128,24,15,9,62.5,5,0
2,3,김현수,두산,141,16,11,5,68.8,7,0
3,4,허경민,두산,117,11,8,3,72.7,2,0
4,4,홍성흔,두산,93,9,8,1,88.9,2,0
5,6,김재호,두산,133,9,7,2,77.8,4,0
6,6,민병헌,두산,129,10,7,3,70.0,4,2
7,8,정진호,두산,77,9,6,3,66.7,1,0
8,9,양의지,두산,132,9,5,4,55.6,11,0
9,10,고영민,두산,41,6,4,2,66.7,1,0
10,10,김재환,두산,48,5,4,1,80.0,1,0
11,12,로메로,두산,76,2,2,0,100,6,1
12,12,박건우,두산,70,3,2,1,66.7,2,0
13,14,유민상,두산,15,1,1,0,100,1,0
14,15,국해성,두산,11,0,0,0,-,0,0
15,15,김응민,두산,4,0,0,0,-,0,0
16,15,김진형,두산,14,0,0,0,-,0,0
17,15,노경은,두산,1,0,0,0,-,0,0
18,15,니퍼트,두산,1,0,0,0,-,0,0
19,15,루츠,두산,8,0,0,0,-,0,0
20,15,류지혁,두산,14,0,0,0,-,0,0
21,15,양종민,두산,32,1,0,1,0.0,1,0
22,15,양현,두산,1,0,0,0,-,0,0
23,15,오재일,두산,66,0,0,0,-,0,0
24,15,이원재,두산,1,0,0,0,-,0,0
25,15,이현승,두산,2,0,0,0,-,0,0
26,15,장민석,두산,53,1,0,1,0.0,1,0
27,15,진야곱,두산,2,0,0,0,-,0,0
28,15,최영진,두산,1,0,0,0,-,0,0
29,15,최재훈,두산,71,0,0,0,-,1,0
30,15,최주환,두산,100,3,0,3,0.0,3,1
31,15,함덕주,두산,2,0,0,0,-,0,0
