,name,SBA,SB%,OOB
0,강경학,7,57.14285714285714,7
1,고동진,0,0.0,0
2,권용관,9,33.33333333333333,6
3,권혁,0,0.0,0
4,김경언,4,25.0,3
5,김기현,0,0.0,0
6,김민우,0,0.0,0
7,김태균,4,75.0,3
8,김태완,0,0.0,0
9,김회성,6,33.33333333333333,4
10,모건,2,50.0,1
11,박노민,0,0.0,0
12,박성호,0,0.0,0
13,박정진,0,0.0,0
14,박한길,0,0.0,0
15,송광민,0,0.0,0
16,송주호,7,85.71428571428571,5
17,신성현,0,0.0,1
18,윤규진,0,0.0,0
19,이성열,2,50.0,0
20,이시찬,2,50.0,0
21,이용규,38,73.68421052631578,8
22,이종환,0,0.0,0
23,이창열,0,0.0,0
24,임익준,0,0.0,0
25,장운호,7,71.42857142857143,1
26,정근우,27,77.77777777777779,7
27,정대훈,0,0.0,0
28,정범모,3,33.33333333333333,0
29,정현석,0,0.0,2
30,조인성,0,0.0,1
31,조정원,0,0.0,0
32,주현상,2,100.0,4
33,지성준,0,0.0,0
34,채기영,0,0.0,0
35,최진행,3,0.0,2
36,탈보트,0,0.0,0
37,폭스,0,0.0,1
38,하주석,0,0.0,0
39,한상훈,3,0.0,0
40,허도환,0,0.0,0
41,황선일,1,100.0,1
