,rank,name,team,G,SBA,SB,CS,SB%,OOB,PKO
0,1,이용규,한화,124,38,28,10,73.7,8,2
1,2,정근우,한화,126,27,21,6,77.8,7,3
2,3,송주호,한화,121,7,6,1,85.7,5,1
3,4,장운호,한화,42,7,5,2,71.4,1,1
4,5,강경학,한화,120,7,4,3,57.1,7,0
5,6,권용관,한화,116,9,3,6,33.3,6,0
6,6,김태균,한화,133,4,3,1,75.0,3,0
7,8,김회성,한화,83,6,2,4,33.3,4,0
8,8,주현상,한화,103,2,2,0,100,4,2
9,10,김경언,한화,107,4,1,3,25.0,3,0
10,10,모건,한화,10,2,1,1,50.0,1,0
11,10,이성열,한화,101,2,1,1,50.0,0,1
12,10,이시찬,한화,34,2,1,1,50.0,0,0
13,10,정범모,한화,51,3,1,2,33.3,0,1
14,10,황선일,한화,13,1,1,0,100,1,0
15,16,고동진,한화,27,0,0,0,-,0,0
16,16,권혁,한화,9,0,0,0,-,0,0
17,16,김기현,한화,1,0,0,0,-,0,0
18,16,김민우,한화,1,0,0,0,-,0,0
19,16,김태완,한화,22,0,0,0,-,0,0
20,16,박노민,한화,23,0,0,0,-,0,0
21,16,박성호,한화,1,0,0,0,-,0,0
22,16,박정진,한화,2,0,0,0,-,0,0
23,16,박한길,한화,1,0,0,0,-,0,0
24,16,송광민,한화,12,0,0,0,-,0,0
25,16,신성현,한화,64,0,0,0,-,1,0
26,16,윤규진,한화,2,0,0,0,-,0,0
27,16,이종환,한화,44,0,0,0,-,0,1
28,16,이창열,한화,5,0,0,0,-,0,0
29,16,임익준,한화,4,0,0,0,-,0,0
30,16,정대훈,한화,3,0,0,0,-,0,0
31,16,정현석,한화,43,0,0,0,-,2,1
32,16,조인성,한화,106,0,0,0,-,1,0
33,16,조정원,한화,2,0,0,0,-,0,0
34,16,지성준,한화,9,0,0,0,-,0,0
35,16,채기영,한화,3,0,0,0,-,0,0
36,16,최진행,한화,109,3,0,3,0.0,2,1
37,16,탈보트,한화,1,0,0,0,-,0,0
38,16,폭스,한화,38,0,0,0,-,1,0
39,16,하주석,한화,4,0,0,0,-,0,0
40,16,한상훈,한화,35,3,0,3,0.0,0,0
41,16,허도환,한화,61,0,0,0,-,0,0
