,name,SBA,SB%,OOB
0,강동수,0,0.0,0
1,강민호,0,0.0,5
2,김대륙,1,0.0,2
3,김대우,4,75.0,2
4,김문호,13,61.53846153846154,2
5,김민하,6,66.66666666666666,1
6,김재유,1,100.0,2
7,김주현,1,100.0,0
8,김준태,0,0.0,0
9,문규현,6,66.66666666666666,2
10,박세웅,0,0.0,1
11,박종윤,1,0.0,4
12,박준서,0,0.0,0
13,박진형,0,0.0,0
14,배장호,0,0.0,0
15,백민기,0,0.0,0
16,손아섭,17,64.70588235294117,7
17,손용석,0,0.0,3
18,심수창,0,0.0,0
19,아두치,34,70.58823529411765,5
20,안중열,2,100.0,1
21,오승택,19,78.94736842105263,3
22,오윤석,0,0.0,0
23,오현근,2,50.0,0
24,이성민,0,0.0,0
25,이여상,0,0.0,0
26,이우민,2,100.0,1
27,이정민,0,0.0,0
28,임재철,3,66.66666666666666,1
29,정훈,22,72.72727272727273,6
30,조홍석,0,0.0,1
31,최준석,0,0.0,3
32,홍성민,0,0.0,0
33,황동채,0,0.0,0
34,황재균,21,52.38095238095239,3
35,황진수,0,0.0,1
