,rank,name,team,G,SBA,SB,CS,SB%,OOB,PKO
0,1,아두치,롯데,132,34,24,10,70.6,5,0
1,2,정훈,롯데,135,22,16,6,72.7,6,0
2,3,오승택,롯데,122,19,15,4,78.9,3,1
3,4,손아섭,롯데,116,17,11,6,64.7,7,1
4,4,황재균,롯데,144,21,11,10,52.4,3,4
5,6,김문호,롯데,93,13,8,5,61.5,2,0
6,7,김민하,롯데,54,6,4,2,66.7,1,0
7,7,문규현,롯데,105,6,4,2,66.7,2,0
8,9,김대우,롯데,39,4,3,1,75.0,2,1
9,10,안중열,롯데,80,2,2,0,100,1,0
10,10,이우민,롯데,75,2,2,0,100,1,0
11,10,임재철,롯데,38,3,2,1,66.7,1,0
12,13,김재유,롯데,18,1,1,0,100,2,0
13,13,김주현,롯데,47,1,1,0,100,0,0
14,13,오현근,롯데,20,2,1,1,50.0,0,1
15,16,강동수,롯데,22,0,0,0,-,0,0
16,16,강민호,롯데,123,0,0,0,-,5,0
17,16,김대륙,롯데,71,1,0,1,0.0,2,0
18,16,김준태,롯데,27,0,0,0,-,0,0
19,16,박세웅,롯데,1,0,0,0,-,1,0
20,16,박종윤,롯데,98,1,0,1,0.0,4,0
21,16,박준서,롯데,3,0,0,0,-,0,0
22,16,박진형,롯데,1,0,0,0,-,0,0
23,16,배장호,롯데,1,0,0,0,-,0,0
24,16,백민기,롯데,8,0,0,0,-,0,0
25,16,손용석,롯데,38,0,0,0,-,3,0
26,16,심수창,롯데,2,0,0,0,-,0,0
27,16,오윤석,롯데,29,0,0,0,-,0,0
28,16,이성민,롯데,3,0,0,0,-,0,0
29,16,이여상,롯데,6,0,0,0,-,0,0
30,16,이정민,롯데,3,0,0,0,-,0,0
31,16,조홍석,롯데,3,0,0,0,-,1,0
32,16,최준석,롯데,144,0,0,0,-,3,1
33,16,홍성민,롯데,2,0,0,0,-,0,0
34,16,황동채,롯데,2,0,0,0,-,0,0
35,16,황진수,롯데,2,0,0,0,-,1,0
