,name,SBA,SB%,OOB
0,강지광,0,0.0,0
1,고종욱,36,61.111111111111114,9
2,김민성,2,50.0,3
3,김민준,0,0.0,0
4,김재현,0,0.0,1
5,김지수,3,66.66666666666666,0
6,김택형,0,0.0,0
7,김하성,26,84.61538461538461,9
8,마정길,0,0.0,0
9,문성현,0,0.0,0
10,문우람,2,50.0,0
11,박동원,0,0.0,5
12,박병호,13,76.92307692307693,2
13,박헌도,2,0.0,5
14,서건창,11,81.81818181818183,4
15,서동욱,0,0.0,0
16,손승락,0,0.0,0
17,송성문,0,0.0,0
18,스나이더,6,66.66666666666666,6
19,유선정,0,0.0,1
20,유재신,11,90.9090909090909,0
21,유한준,6,50.0,10
22,윤석민,5,60.0,6
23,이택근,17,64.70588235294117,10
24,임병욱,6,33.33333333333333,1
25,장시윤,1,0.0,0
26,장영석,0,0.0,0
27,한현희,0,0.0,0
28,허정협,0,0.0,0
29,홍성갑,0,0.0,0
