,rank,name,team,G,SBA,SB,CS,SB%,OOB,PKO
0,1,고종욱,넥센,119,36,22,14,61.1,9,2
1,1,김하성,넥센,140,26,22,4,84.6,9,2
2,3,이택근,넥센,105,17,11,6,64.7,10,2
3,4,박병호,넥센,140,13,10,3,76.9,2,1
4,4,유재신,넥센,62,11,10,1,90.9,0,2
5,6,서건창,넥센,85,11,9,2,81.8,4,2
6,7,스나이더,넥센,113,6,4,2,66.7,6,0
7,8,유한준,넥센,139,6,3,3,50.0,10,0
8,8,윤석민,넥센,108,5,3,2,60.0,6,0
9,10,김지수,넥센,104,3,2,1,66.7,0,0
10,10,임병욱,넥센,40,6,2,4,33.3,1,1
11,12,김민성,넥센,118,2,1,1,50.0,3,1
12,12,문우람,넥센,63,2,1,1,50.0,0,0
13,14,강지광,넥센,13,0,0,0,-,0,0
14,14,김민준,넥센,2,0,0,0,-,0,0
15,14,김재현,넥센,59,0,0,0,-,1,1
16,14,김택형,넥센,1,0,0,0,-,0,0
17,14,마정길,넥센,1,0,0,0,-,0,0
18,14,문성현,넥센,2,0,0,0,-,0,0
19,14,박동원,넥센,127,0,0,0,-,5,0
20,14,박헌도,넥센,108,2,0,2,0.0,5,0
21,14,서동욱,넥센,55,0,0,0,-,0,1
22,14,손승락,넥센,1,0,0,0,-,0,0
23,14,송성문,넥센,7,0,0,0,-,0,0
24,14,유선정,넥센,17,0,0,0,-,1,0
25,14,장시윤,넥센,17,1,0,1,0.0,0,0
26,14,장영석,넥센,6,0,0,0,-,0,0
27,14,한현희,넥센,2,0,0,0,-,0,0
28,14,허정협,넥센,4,0,0,0,-,0,0
29,14,홍성갑,넥센,7,0,0,0,-,0,1
