,name,SBA,SB%,OOB
0,강봉규,0,0.0,0
1,구자욱,24,70.83333333333334,5
2,김상수,31,83.87096774193549,2
3,김재현,0,0.0,0
4,김정혁,0,0.0,0
5,김태완,0,0.0,0
6,나바로,28,78.57142857142857,2
7,박계범,0,0.0,0
8,박석민,3,100.0,10
9,박찬도,19,68.42105263157895,1
10,박한이,12,50.0,5
11,박해민,68,88.23529411764706,6
12,배영섭,1,100.0,0
13,백상원,0,0.0,0
14,심창민,0,0.0,0
15,우동균,2,0.0,1
16,윤영수,0,0.0,0
17,이상훈,0,0.0,0
18,이승엽,3,66.66666666666666,4
19,이영욱,1,0.0,0
20,이정식,0,0.0,0
21,이지영,3,33.33333333333333,4
22,이흥련,3,66.66666666666666,1
23,임창용,0,0.0,0
24,정인욱,0,0.0,0
25,진갑용,0,0.0,2
26,채태인,2,0.0,5
27,최민구,0,0.0,0
28,최선호,2,100.0,1
29,최형우,7,28.57142857142857,11
