,rank,name,team,G,SBA,SB,CS,SB%,OOB,PKO
0,1,박해민,삼성,144,68,60,8,88.2,6,2
1,2,김상수,삼성,132,31,26,5,83.9,2,0
2,3,나바로,삼성,140,28,22,6,78.6,2,0
3,4,구자욱,삼성,116,24,17,7,70.8,5,1
4,5,박찬도,삼성,116,19,13,6,68.4,1,0
5,6,박한이,삼성,94,12,6,6,50.0,5,0
6,7,박석민,삼성,135,3,3,0,100,10,1
7,8,이승엽,삼성,122,3,2,1,66.7,4,0
8,8,이흥련,삼성,71,3,2,1,66.7,1,1
9,8,최선호,삼성,33,2,2,0,100,1,0
10,8,최형우,삼성,144,7,2,5,28.6,11,0
11,12,배영섭,삼성,4,1,1,0,100,0,0
12,12,이지영,삼성,124,3,1,2,33.3,4,0
13,14,강봉규,삼성,5,0,0,0,-,0,0
14,14,김재현,삼성,73,0,0,0,-,0,0
15,14,김정혁,삼성,17,0,0,0,-,0,0
16,14,김태완,삼성,4,0,0,0,-,0,0
17,14,박계범,삼성,3,0,0,0,-,0,0
18,14,백상원,삼성,52,0,0,0,-,0,1
19,14,심창민,삼성,1,0,0,0,-,0,0
20,14,우동균,삼성,37,2,0,2,0.0,1,0
21,14,윤영수,삼성,4,0,0,0,-,0,0
22,14,이상훈,삼성,4,0,0,0,-,0,0
23,14,이영욱,삼성,38,1,0,1,0.0,0,0
24,14,이정식,삼성,5,0,0,0,-,0,0
25,14,임창용,삼성,2,0,0,0,-,0,0
26,14,정인욱,삼성,1,0,0,0,-,0,0
27,14,진갑용,삼성,39,0,0,0,-,2,0
28,14,채태인,삼성,104,2,0,2,0.0,5,0
29,14,최민구,삼성,6,0,0,0,-,0,0
