,p_number,name,salary,entry_yr,team
0,79215,박건우,7000만원,09두산,Doosan
1,60288,김응민,2800만원,12두산,Doosan
2,72214,고영민,15000만원,02두산,Doosan
3,76232,양의지,42000만원,06두산,Doosan
4,79240,허경민,20000만원,09두산,Doosan
5,74206,김재호,41000만원,04두산,Doosan
6,76249,민병헌,35000만원,06두산,Doosan
7,79231,정수빈,28000만원,09두산,Doosan
8,75334,오재일,9500만원,05현대,Doosan
9,76267,최주환,11000만원,06두산,Doosan
10,77248,오재원,55000만원,07두산,Doosan
11,62265,유민상,3200만원,12두산,Doosan
12,99222,홍성흔,40000만원,99두산,Doosan
13,78224,김재환,5000만원,08두산,Doosan
14,61208,정진호,5200만원,11두산,Doosan
15,79290,국해성,3000만원,09두산,Doosan
16,62234,류지혁,3000만원,12두산,Doosan
17,71347,장민석,10000만원,01현대,Doosan
18,79234,김진형,3000만원,09두산,Doosan
19,78288,최재훈,6800만원,08두산,Doosan
20,73211,노경은,20000만원,03두산,Doosan
21,61240,니퍼트,1200000달러,11두산,Doosan
22,61268,양현,2700만원,11두산,Doosan
23,77229,이원재,2800만원,07두산,Doosan
24,76329,이현승,40000만원,08히어로즈,Doosan
25,78257,진야곱,6000만원,08두산,Doosan
26,61197,최영진,3000만원,12LG,Doosan
27,63248,함덕주,10000만원,13두산,Doosan
28,79544,오장훈,2900만원,09롯데,Doosan
29,77263,김강률,6200만원,07두산,Doosan
30,76329,이현승,40000만원,08히어로즈,Doosan
31,79535,허준혁,7500만원,09롯데,Doosan
32,63248,함덕주,10000만원,13두산,Doosan
33,79229,유희관,40000만원,09두산,Doosan
34,62242,윤명준,11500만원,12두산,Doosan
35,74513,장원준,100000만원,04롯데,Doosan
36,61214,이현호,6800만원,11두산,Doosan
37,73211,노경은,20000만원,03두산,Doosan
38,61240,니퍼트,1200000달러,11두산,Doosan
39,61268,양현,2700만원,11두산,Doosan
40,79293,오현택,11000만원,09두산,Doosan
41,65264,남경호,3000만원,15두산,Doosan
42,71260,이재우,9000만원,01두산,Doosan
43,78257,진야곱,6000만원,08두산,Doosan
44,61527,김명성,3200만원,11롯데,Doosan
45,79235,조승수,2900만원,09두산,Doosan
46,62263,변진수,7300만원,12두산,Doosan
47,77229,이원재,2800만원,07두산,Doosan
48,60255,장민익,2800만원,10두산,Doosan
49,77253,이용호,2700만원,07두산,Doosan
