,p_number,name,salary,entry_yr,team
0,64706,이창열,3200만원,14한화,Hanhwa
1,74163,이용규,70000만원,04LG,Hanhwa
2,71610,김경언,20000만원,01KIA,Hanhwa
3,74756,박노민,4000만원,04한화,Hanhwa
4,75808,정근우,70000만원,05SK,Hanhwa
5,71752,김태균,160000만원,01한화,Hanhwa
6,78745,정현석,9500만원,08한화,Hanhwa
7,62700,하주석,3200만원,12한화,Hanhwa
8,74729,최진행,18500만원,04한화,Hanhwa
9,60667,이종환,6200만원,10KIA,Hanhwa
10,74148,이시찬,5100만원,04LG,Hanhwa
11,61700,강경학,6500만원,11한화,Hanhwa
12,63700,장운호,4200만원,13한화,Hanhwa
13,73136,이성열,25000만원,03LG,Hanhwa
14,64717,지성준,3000만원,14한화,Hanhwa
15,76753,송광민,10000만원,06한화,Hanhwa
16,76746,김태완,8000만원,06한화,Hanhwa
17,98144,조인성,40000만원,98LG,Hanhwa
18,64086,신성현,3700만원,15한화,Hanhwa
19,95158,권용관,8000만원,95LG,Hanhwa
20,65707,주현상,3700만원,15한화,Hanhwa
21,79705,김회성,5500만원,09한화,Hanhwa
22,60404,송주호,4000만원,10삼성,Hanhwa
23,77243,허도환,7500만원,07두산,Hanhwa
24,76404,황선일,2800만원,06LG,Hanhwa
25,74745,고동진,8000만원,04한화,Hanhwa
26,76720,정범모,6000만원,06한화,Hanhwa
27,72447,권혁,45000만원,02삼성,Hanhwa
28,62919,김기현,3300만원,14한화,Hanhwa
29,65764,김민우,3800만원,15한화,Hanhwa
30,79760,박성호,5000만원,09한화,Hanhwa
31,99737,박정진,30000만원,99한화,Hanhwa
32,64764,박한길,3000만원,15한화,Hanhwa
33,73750,윤규진,17000만원,03한화,Hanhwa
34,77464,임익준,3500만원,07삼성,Hanhwa
35,78760,정대훈,5100만원,08한화,Hanhwa
36,79748,구본범,2900만원,09한화,Hanhwa
37,64768,조영우,2800만원,14한화,Hanhwa
38,73750,윤규진,17000만원,03한화,Hanhwa
39,65742,로저스,1700000달러,15한화,Hanhwa
40,99737,박정진,30000만원,99한화,Hanhwa
41,60764,김용주,3000만원,10한화,Hanhwa
42,62611,임준섭,8500만원,13KIA,Hanhwa
43,62919,김기현,3300만원,14한화,Hanhwa
44,77452,이동걸,3500만원,07삼성,Hanhwa
45,78760,정대훈,5100만원,08한화,Hanhwa
46,79760,박성호,5000만원,09한화,Hanhwa
47,72447,권혁,45000만원,02삼성,Hanhwa
48,73738,안영명,28000만원,03한화,Hanhwa
49,65764,김민우,3800만원,15한화,Hanhwa
50,74731,송창식,16000만원,04한화,Hanhwa
51,64769,정광운,2800만원,14한화,Hanhwa
52,73801,송은범,45000만원,03SK,Hanhwa
53,70425,배영수,55000만원,00삼성,Hanhwa
54,65769,김범수,3200만원,15한화,Hanhwa
55,64764,박한길,3000만원,15한화,Hanhwa
56,74748,정재원,3700만원,04한화,Hanhwa
57,79764,장민재,3700만원,09한화,Hanhwa
58,61767,문재현,2700만원,11한화,Hanhwa
