,p_number,name,salary
0,70410,김주찬,50000만원
1,64699,필,900000달러
2,65610,황대인,3000만원
3,70756,이범호,65000만원
4,71207,김원섭,15000만원
5,72559,신종길,12000만원
6,72303,김민우,12000만원
7,78629,나지완,20000만원
8,78765,김다원,7000만원
9,78643,백용환,6000만원
10,74605,김주형,5500만원
11,78666,최용규,5000만원
12,71184,이성우,6500만원
13,65653,김호령,6000만원
14,63634,이홍구,7000만원
15,61743,오준혁,3300만원
16,64610,강한울,6000만원
17,60648,이인행,3000만원
18,64646,박찬호,3700만원
19,73602,차일목,15000만원
20,62668,윤완주,3500만원
21,64602,이은총,3000만원
22,64657,박준태,3400만원
23,60658,최병연,3000만원
24,63636,고영우,3900만원
25,77648,이호신,3600만원
26,63704,노수광,3000만원
27,70142,김광수,10000만원
28,62349,김병현,15000만원
29,78823,김준,3200만원
30,71255,김태영,8800만원
31,65643,문경찬,2700만원
32,65639,박정수,2700만원
33,63638,박준표,4500만원
34,60636,심동섭,14000만원
35,75620,윤석민,125000만원
36,75706,전현태,3500만원
37,97336,최영필,13000만원
38,76610,한기주,6500만원
39,61666,한승혁,7000만원
40,61643,홍건희,4500만원
