,p_number,name,salary,entry_yr,team
0,60496,김선민,3200만원,15kt,KT
1,65005,마르테,750000달러,15kt,KT
2,73153,이대형,30000만원,03LG,KT
3,73113,박경수,23000만원,03LG,KT
4,78548,장성우,6500만원,08롯데,KT
5,70646,김상현,20000만원,01KIA,KT
6,70553,박기혁,15000만원,00롯데,KT
7,64004,김민혁,4700만원,14kt,KT
8,78892,윤요섭,6500만원,08SK,KT
9,77104,박용근,4000만원,07LG,KT
10,79453,오정복,8000만원,09삼성,KT
11,78517,하준호,6000만원,08롯데,KT
12,78753,김사연,4500만원,08한화,KT
13,64012,송민섭,2700만원,15kt,KT
14,76469,모상기,2800만원,06삼성,KT
15,64013,이지찬,2800만원,14kt,KT
16,63448,김영환,3700만원,14kt,KT
17,79364,김종민,3800만원,14kt,KT
18,63088,김진곤,3500만원,15kt,KT
19,65040,김태훈,3000만원,15kt,KT
20,77462,김동명,4000만원,07삼성,KT
21,64006,심우준,3500만원,14kt,KT
22,64007,문상철,3600만원,14kt,KT
23,64560,이창진,2900만원,14롯데,KT
24,64166,배병옥,3500만원,14LG,KT
25,64001,고영표,4400만원,14kt,KT
26,65048,김민수,3200만원,15kt,KT
27,99563,김사율,20000만원,99롯데,KT
28,79191,배우열,3600만원,09LG,KT
29,64017,심재민,4700만원,14kt,KT
30,64041,안상빈,3700만원,14kt,KT
31,62537,윤여운,2700만원,12롯데,KT
32,60343,이해창,2900만원,10넥센,KT
33,77318,장시환,8900만원,07현대,KT
34,60264,정대현,6300만원,10두산,KT
35,65067,조무근,8500만원,15kt,KT
36,65042,홍성무,3600만원,15kt,KT
37,75149,홍성용,7000만원,05LG,KT
38,72261,황덕균,2700만원,02두산,KT
39,65067,조무근,8500만원,15kt,KT
40,60848,최원재,4600만원,10SK,KT
41,75149,홍성용,7000만원,05LG,KT
42,77318,장시환,8900만원,07현대,KT
43,65062,김재윤,7200만원,09애리조나,KT
44,65042,홍성무,3600만원,15kt,KT
45,64041,안상빈,3700만원,14kt,KT
46,60264,정대현,6300만원,10두산,KT
47,79191,배우열,3600만원,09LG,KT
48,75730,윤근영,6200만원,05한화,KT
49,64001,고영표,4400만원,14kt,KT
50,65048,김민수,3200만원,15kt,KT
51,65056,엄상백,6000만원,15kt,KT
52,65057,이창재,4400만원,15kt,KT
53,64017,심재민,4700만원,14kt,KT
54,72261,황덕균,2700만원,02두산,KT
55,99563,김사율,20000만원,99롯데,KT
56,65060,주권,3600만원,15kt,KT
57,65058,정성곤,3900만원,15kt,KT
58,74543,최대성,8500만원,04롯데,KT
59,63137,이윤학,2700만원,14kt,KT
