,p_number,name,salary
0,60496,김선민,3200만원
1,65005,마르테,750000달러
2,73153,이대형,30000만원
3,73113,박경수,23000만원
4,78548,장성우,6500만원
5,70646,김상현,20000만원
6,70553,박기혁,15000만원
7,64004,김민혁,4700만원
8,78892,윤요섭,6500만원
9,77104,박용근,4000만원
10,79453,오정복,8000만원
11,78517,하준호,6000만원
12,78753,김사연,4500만원
13,64012,송민섭,2700만원
14,76469,모상기,2800만원
15,64013,이지찬,2800만원
16,63448,김영환,3700만원
17,79364,김종민,3800만원
18,63088,김진곤,3500만원
19,65040,김태훈,3000만원
20,77462,김동명,4000만원
21,64006,심우준,3500만원
22,64007,문상철,3600만원
23,64560,이창진,2900만원
24,64166,배병옥,3500만원
25,64001,고영표,4400만원
26,65048,김민수,3200만원
27,99563,김사율,20000만원
28,79191,배우열,3600만원
29,64017,심재민,4700만원
30,64041,안상빈,3700만원
31,62537,윤여운,2700만원
32,60343,이해창,2900만원
33,77318,장시환,8900만원
34,60264,정대현,6300만원
35,65067,조무근,8500만원
36,65042,홍성무,3600만원
37,75149,홍성용,7000만원
38,72261,황덕균,2700만원
