,p_number,name,salary,entry_yr,team
0,64117,양원혁,2700만원,14LG,LG
1,62164,서상우,6000만원,12LG,LG
2,65115,안익훈,4100만원,15LG,LG
3,61108,강병의,3000만원,11LG,LG
4,72133,박용택,80000만원,02LG,LG
5,60100,백창수,4000만원,10LG,LG
6,65103,히메네스,500000달러,15LG,LG
7,99606,정성훈,50000만원,99해태,LG
8,74823,임훈,13000만원,04SK,LG
9,79109,오지환,25000만원,09LG,LG
10,61742,나성용,3700만원,11한화,LG
11,61102,유강남,8100만원,11LG,LG
12,63077,황목치승,4000만원,14LG,LG
13,61194,이민재,3400만원,12LG,LG
14,64153,양석환,7000만원,14LG,LG
15,99810,이진영,60000만원,99쌍방울,LG
16,78217,김용의,6000만원,08두산,LG
17,79192,채은성,5500만원,14LG,LG
18,72456,손주인,12000만원,02삼성,LG
19,76100,이병규,15600만원,06LG,LG
20,79113,문선재,6500만원,09LG,LG
21,97109,이병규,80000만원,97LG,LG
22,64115,장준원,3000만원,14LG,LG
23,73824,최경철,9000만원,03SK,LG
24,65136,박지규,2700만원,15LG,LG
25,65120,박성준,3000만원,15LG,LG
26,62007,김지성,3800만원,12LG,LG
27,79198,윤진호,3300만원,09LG,LG
28,76158,최승준,4200만원,06LG,LG
29,65132,김재성,2700만원,15LG,LG
30,61114,김재율,2900만원,11LG,LG
31,60181,김지용,4000만원,10LG,LG
32,77147,봉중근,30000만원,97애틀란타,LG
33,70839,신승현,6000만원,00SK,LG
34,76757,유원상,7500만원,06한화,LG
35,71118,이동현,60000만원,01LG,LG
36,62463,이준형,2800만원,14kt,LG
37,62147,조윤준,3000만원,12LG,LG
38,76650,진해수,9500만원,06KIA,LG
39,79140,최동환,3500만원,09LG,LG
40,75852,김선규,6000만원,05SK,LG
41,73117,우규민,40000만원,03LG,LG
42,61329,윤지웅,12500만원,11넥센,LG
43,62698,소사,500000달러,12KIA,LG
44,60181,김지용,4000만원,10LG,LG
45,71118,이동현,60000만원,01LG,LG
46,63111,류제국,18000만원,01시카고컵스,LG
47,70839,신승현,6000만원,00SK,LG
48,77147,봉중근,30000만원,97애틀란타,LG
49,61891,임정우,12500만원,11SK,LG
50,78148,정찬헌,5100만원,08LG,LG
51,76757,유원상,7500만원,06한화,LG
52,76650,진해수,9500만원,06KIA,LG
53,99152,김광삼,5000만원,99LG,LG
54,60146,이승현,3700만원,10LG,LG
55,64155,임지섭,3500만원,14LG,LG
56,62463,이준형,2800만원,14kt,LG
57,74139,장진용,5000만원,04LG,LG
58,79140,최동환,3500만원,09LG,LG
