,p_number,name,salary
0,64117,양원혁,2700만원
1,62164,서상우,6000만원
2,65115,안익훈,4100만원
3,61108,강병의,3000만원
4,72133,박용택,80000만원
5,60100,백창수,4000만원
6,65103,히메네스,500000달러
7,99606,정성훈,50000만원
8,74823,임훈,13000만원
9,79109,오지환,25000만원
10,61742,나성용,3700만원
11,61102,유강남,8100만원
12,63077,황목치승,4000만원
13,61194,이민재,3400만원
14,64153,양석환,7000만원
15,99810,이진영,60000만원
16,78217,김용의,6000만원
17,79192,채은성,5500만원
18,72456,손주인,12000만원
19,76100,이병규,15600만원
20,79113,문선재,6500만원
21,97109,이병규,80000만원
22,64115,장준원,3000만원
23,73824,최경철,9000만원
24,65136,박지규,2700만원
25,65120,박성준,3000만원
26,62007,김지성,3800만원
27,79198,윤진호,3300만원
28,76158,최승준,4200만원
29,65132,김재성,2700만원
30,61114,김재율,2900만원
31,60181,김지용,4000만원
32,77147,봉중근,30000만원
33,70839,신승현,6000만원
34,76757,유원상,7500만원
35,71118,이동현,60000만원
36,62463,이준형,2800만원
37,62147,조윤준,3000만원
38,76650,진해수,9500만원
39,79140,최동환,3500만원
