,p_number,name,salary,entry_yr,team
0,77532,손아섭,60000만원,07롯데,Lotte
1,65523,아두치,780000달러,15롯데,Lotte
2,74540,강민호,100000만원,04롯데,Lotte
3,71552,최준석,40000만원,01롯데,Lotte
4,76509,김문호,7000만원,06롯데,Lotte
5,60523,정훈,21000만원,10롯데,Lotte
6,76313,황재균,50000만원,06현대,Lotte
7,60558,오승택,7000만원,10롯데,Lotte
8,64504,오윤석,2700만원,15롯데,Lotte
9,77669,김주현,3300만원,10롯데,Lotte
10,71562,박종윤,16000만원,01롯데,Lotte
11,72546,문규현,9000만원,02롯데,Lotte
12,61554,김민하,4000만원,11롯데,Lotte
13,64022,안중열,4000만원,14kt,Lotte
14,71565,이우민,7000만원,01롯데,Lotte
15,76536,손용석,3400만원,06롯데,Lotte
16,78850,오현근,3000만원,08SK,Lotte
17,78536,김대우,3800만원,05상무,Lotte
18,62558,김준태,3000만원,13롯데,Lotte
19,65513,김대륙,3200만원,15롯데,Lotte
20,65515,강동수,2900만원,15롯데,Lotte
21,65506,김재유,2900만원,15롯데,Lotte
22,64021,박세웅,5600만원,14kt,Lotte
23,63512,박진형,2800만원,15롯데,Lotte
24,76540,배장호,4600만원,06롯데,Lotte
25,74167,심수창,25000만원,04LG,Lotte
26,63935,이성민,9500만원,13NC,Lotte
27,76435,이여상,3600만원,07삼성,Lotte
28,72551,이정민,6500만원,02롯데,Lotte
29,62655,홍성민,12000만원,12KIA,Lotte
30,78566,황진수,2800만원,08롯데,Lotte
31,63512,박진형,2800만원,15롯데,Lotte
32,65509,차재용,2800만원,15롯데,Lotte
33,71801,정대현,32000만원,01SK,Lotte
34,65543,린드블럼,1200000달러,15롯데,Lotte
35,65546,레일리,630000달러,15롯데,Lotte
36,62655,홍성민,12000만원,12KIA,Lotte
37,70615,강영식,30000만원,00해태,Lotte
38,64047,조현우,2800만원,14kt,Lotte
39,63935,이성민,9500만원,13NC,Lotte
40,77591,송승준,40000만원,99보스턴,Lotte
41,72535,이명우,15000만원,02롯데,Lotte
42,62528,김원중,3600만원,12롯데,Lotte
43,64021,박세웅,5600만원,14kt,Lotte
44,72551,이정민,6500만원,02롯데,Lotte
45,74167,심수창,25000만원,04LG,Lotte
46,77566,이재곤,3800만원,07롯데,Lotte
47,73248,김승회,22000만원,03두산,Lotte
48,77563,이상화,5000만원,07롯데,Lotte
49,76540,배장호,4600만원,06롯데,Lotte
50,64594,심규범,2900만원,14롯데,Lotte
51,73241,정재훈,15000만원,03두산,Lotte
52,73226,김성배,18000만원,03두산,Lotte
53,64565,이인복,2900만원,14롯데,Lotte
54,63543,구승민,2900만원,14롯데,Lotte
55,61569,이경우,2800만원,11롯데,Lotte
56,74556,허준혁,3000만원,04롯데,Lotte
