,p_number,name,salary,entry_yr,team
0,64914,테임즈,1250000달러,14NC,NC
1,74358,조평호,3500만원,04현대,NC
2,62947,나성범,30000만원,12NC,NC
3,62907,박민우,19000만원,12NC,NC
4,77454,김종호,17500만원,07삼성,NC
5,94629,이호준,75000만원,94해태,NC
6,78813,모창민,12500만원,08SK,NC
7,64944,박광열,3000만원,14NC,NC
8,75441,조영훈,11000만원,05삼성,NC
9,73339,이종욱,50000만원,03현대,NC
10,73306,지석훈,14000만원,03현대,NC
11,62934,김성욱,5500만원,12NC,NC
12,78122,김태군,21000만원,08LG,NC
13,63913,최재원,5000만원,13NC,NC
14,73213,손시헌,40000만원,03두산,NC
15,74223,용덕한,8500만원,04두산,NC
16,63920,김준완,3000만원,13NC,NC
17,62917,강구성,2700만원,12NC,NC
18,62016,윤병호,2900만원,15NC,NC
19,62931,노진혁,4300만원,12NC,NC
20,64906,강민국,2700만원,14NC,NC
21,64907,강장산,3000만원,15NC,NC
22,78248,고창성,5000만원,08두산,NC
23,64984,김태진,3000만원,14NC,NC
24,62920,노성호,5500만원,12NC,NC
25,78366,민성기,3300만원,08우리,NC
26,62929,이민호,13500만원,12NC,NC
27,60304,이창섭,3000만원,10넥센,NC
28,61323,이태양,10000만원,11넥센,NC
29,63959,임정호,7700만원,13NC,NC
30,78352,임창민,17400만원,08우리,NC
31,62966,최금강,9200만원,13NC,NC
32,62908,황윤호,2700만원,12NC,NC
33,65931,스튜어트,500000달러,15NC,NC
34,63938,해커,600000달러,13NC,NC
35,63991,박진우,3200만원,15NC,NC
36,61323,이태양,10000만원,11넥센,NC
37,62966,최금강,9200만원,13NC,NC
38,78248,고창성,5000만원,08두산,NC
39,63959,임정호,7700만원,13NC,NC
40,78352,임창민,17400만원,08우리,NC
41,60263,이재학,20000만원,10두산,NC
42,75867,김진성,15000만원,05SK,NC
43,78366,민성기,3300만원,08우리,NC
44,62929,이민호,13500만원,12NC,NC
45,64907,강장산,3000만원,15NC,NC
46,63914,손정욱,5600만원,13NC,NC
47,63950,장현식,2700만원,13NC,NC
48,62920,노성호,5500만원,12NC,NC
49,64995,배재환,2700만원,14NC,NC
50,70820,이승호,7000만원,00SK,NC
