,p_number,name,salary
0,64914,테임즈,1250000달러
1,74358,조평호,3500만원
2,62947,나성범,30000만원
3,62907,박민우,19000만원
4,77454,김종호,17500만원
5,94629,이호준,75000만원
6,78813,모창민,12500만원
7,64944,박광열,3000만원
8,75441,조영훈,11000만원
9,73339,이종욱,50000만원
10,73306,지석훈,14000만원
11,62934,김성욱,5500만원
12,78122,김태군,21000만원
13,63913,최재원,5000만원
14,73213,손시헌,40000만원
15,74223,용덕한,8500만원
16,63920,김준완,3000만원
17,62917,강구성,2700만원
18,62016,윤병호,2900만원
19,62931,노진혁,4300만원
20,64906,강민국,2700만원
21,64907,강장산,3000만원
22,78248,고창성,5000만원
23,64984,김태진,3000만원
24,62920,노성호,5500만원
25,78366,민성기,3300만원
26,62929,이민호,13500만원
27,60304,이창섭,3000만원
28,61323,이태양,10000만원
29,63959,임정호,7700만원
30,78352,임창민,17400만원
31,62966,최금강,9200만원
32,62908,황윤호,2700만원
