,p_number,name,salary,entry_yr,team
0,74339,유한준,60000만원,04현대,Nexen
1,65399,허정협,3000만원,15넥센,Nexen
2,61366,홍성갑,3200만원,14넥센,Nexen
3,73342,이택근,50000만원,03현대,Nexen
4,61353,고종욱,7700만원,11넥센,Nexen
5,77564,김민성,22000만원,07롯데,Nexen
6,78168,서건창,26000만원,08LG,Nexen
7,74215,윤석민,16000만원,04두산,Nexen
8,64300,김하성,16000만원,14넥센,Nexen
9,79130,강지광,2700만원,09LG,Nexen
10,63360,장시윤,3300만원,14넥센,Nexen
11,79365,박동원,14000만원,09히어로즈,Nexen
12,62332,김재현,4400만원,12넥센,Nexen
13,76368,유재신,6000만원,06현대,Nexen
14,65357,송성문,3000만원,15넥센,Nexen
15,79356,박헌도,8000만원,09히어로즈,Nexen
16,76322,유선정,3900만원,06현대,Nexen
17,61363,문우람,9000만원,12넥센,Nexen
18,79300,김지수,5500만원,09히어로즈,Nexen
19,73606,서동욱,5800만원,03KIA,Nexen
20,64346,임병욱,4000만원,14넥센,Nexen
21,79334,장영석,3300만원,09히어로즈,Nexen
22,63339,김민준,2700만원,13넥센,Nexen
23,65343,김택형,4400만원,15넥센,Nexen
24,72749,마정길,20000만원,02한화,Nexen
25,60336,문성현,11000만원,10넥센,Nexen
26,75321,손승락,70000만원,05현대,Nexen
27,62363,한현희,30000만원,12넥센,Nexen
28,65392,김정인,3000만원,15넥센,Nexen
29,75750,양훈,15000만원,05한화,Nexen
30,63342,조상우,17000만원,13넥센,Nexen
31,75321,손승락,70000만원,05현대,Nexen
32,76350,김세현,16000만원,06현대,Nexen
33,75258,금민철,7900만원,05두산,Nexen
34,97541,이정훈,4900만원,97롯데,Nexen
35,65331,피어밴드,450000달러,15넥센,Nexen
36,62363,한현희,30000만원,12넥센,Nexen
37,61365,김대우,11000만원,11넥센,Nexen
38,72749,마정길,20000만원,02한화,Nexen
39,99314,송신영,19000만원,99현대,Nexen
40,60336,문성현,11000만원,10넥센,Nexen
41,62360,김동준,3000만원,12넥센,Nexen
42,72321,배힘찬,3300만원,02현대,Nexen
43,60339,김정훈,3400만원,10넥센,Nexen
44,64350,하영민,5500만원,14넥센,Nexen
45,65343,김택형,4400만원,15넥센,Nexen
46,60342,정회찬,2700만원,10넥센,Nexen
47,74359,오재영,8800만원,04현대,Nexen
48,63960,이상민,3000만원,13NC,Nexen
49,76430,김상수,6000만원,06삼성,Nexen
