,p_number,name,salary
0,64895,이진석,2900만원
1,77869,김기현,3000만원
2,65869,이현석,2700만원
3,75151,정의윤,12000만원
4,76849,이명기,18000만원
5,62893,최정민,3000만원
6,76802,김성현,18000만원
7,75847,최정,100000만원
8,72324,허웅,3300만원
9,76812,이재원,28000만원
10,74846,박정권,40000만원
11,73209,나주환,20000만원
12,77609,김연훈,4700만원
13,72860,이대수,35000만원
14,71848,조동화,30000만원
15,71842,정상호,50000만원
16,71857,박재상,20000만원
17,71837,김강민,60000만원
18,79869,윤중환,2800만원
19,61893,박계현,6000만원
20,62864,김민식,3000만원
21,77848,박윤,4000만원
22,76869,김재현,4000만원
23,60865,안정광,2900만원
24,64890,유서준,2900만원
25,72523,고효준,8000만원
26,75250,박정배,8000만원
27,61895,서진용,3000만원
28,75138,신재웅,16500만원
29,72862,윤길현,50000만원
30,74857,정우람,120000만원
31,71845,채병용,25000만원
