,p_number,name,salary
0,79215,박건우,7000만원
1,60288,김응민,2800만원
2,72214,고영민,15000만원
3,76232,양의지,42000만원
4,79240,허경민,20000만원
5,74206,김재호,41000만원
6,76249,민병헌,35000만원
7,79231,정수빈,28000만원
8,75334,오재일,9500만원
9,76267,최주환,11000만원
10,77248,오재원,55000만원
11,62265,유민상,3200만원
12,99222,홍성흔,40000만원
13,78224,김재환,5000만원
14,61208,정진호,5200만원
15,79290,국해성,3000만원
16,62234,류지혁,3000만원
17,71347,장민석,10000만원
18,79234,김진형,3000만원
19,78288,최재훈,6800만원
20,73211,노경은,20000만원
21,61240,니퍼트,1200000달러
22,61268,양현,2700만원
23,77229,이원재,2800만원
24,76329,이현승,40000만원
25,78257,진야곱,6000만원
26,61197,최영진,3000만원
27,63248,함덕주,10000만원
