,p_number,name,salary,entry_yr,team
0,61240.0,니퍼트,132000.0,11두산,Doosan
1,61240.0,니퍼트,132000.0,11두산,Doosan
2,65742.0,로저스,187000.0,15한화,Hanhwa
3,64699.0,필,99000.0,14KIA,KIA
4,65005.0,마르테,82500.0,15kt,KT
5,65103.0,히메네스,55000.0,15LG,LG
6,62698.0,소사,55000.0,12KIA,LG
7,65523.0,아두치,85800.0,15롯데,Lotte
8,65543.0,린드블럼,132000.0,15롯데,Lotte
9,65546.0,레일리,69300.0,15롯데,Lotte
10,64914.0,테임즈,137500.0,14NC,NC
11,65931.0,스튜어트,55000.0,15NC,NC
12,63938.0,해커,66000.0,13NC,NC
13,65331.0,피어밴드,49500.0,15넥센,Nexen
14,79215.0,박건우,7000.0,09두산,Doosan
15,60288.0,김응민,2800.0,12두산,Doosan
16,72214.0,고영민,15000.0,02두산,Doosan
17,76232.0,양의지,42000.0,06두산,Doosan
18,79240.0,허경민,20000.0,09두산,Doosan
19,74206.0,김재호,41000.0,04두산,Doosan
20,76249.0,민병헌,35000.0,06두산,Doosan
21,79231.0,정수빈,28000.0,09두산,Doosan
22,75334.0,오재일,9500.0,05현대,Doosan
23,76267.0,최주환,11000.0,06두산,Doosan
24,77248.0,오재원,55000.0,07두산,Doosan
25,62265.0,유민상,3200.0,12두산,Doosan
26,99222.0,홍성흔,40000.0,99두산,Doosan
27,78224.0,김재환,5000.0,08두산,Doosan
28,61208.0,정진호,5200.0,11두산,Doosan
29,79290.0,국해성,3000.0,09두산,Doosan
30,62234.0,류지혁,3000.0,12두산,Doosan
31,71347.0,장민석,10000.0,01현대,Doosan
32,79234.0,김진형,3000.0,09두산,Doosan
33,78288.0,최재훈,6800.0,08두산,Doosan
34,73211.0,노경은,20000.0,03두산,Doosan
35,61268.0,양현,2700.0,11두산,Doosan
36,77229.0,이원재,2800.0,07두산,Doosan
37,76329.0,이현승,40000.0,08히어로즈,Doosan
38,78257.0,진야곱,6000.0,08두산,Doosan
39,61197.0,최영진,3000.0,12LG,Doosan
40,63248.0,함덕주,10000.0,13두산,Doosan
41,79544.0,오장훈,2900.0,09롯데,Doosan
42,77263.0,김강률,6200.0,07두산,Doosan
43,76329.0,이현승,40000.0,08히어로즈,Doosan
44,79535.0,허준혁,7500.0,09롯데,Doosan
45,63248.0,함덕주,10000.0,13두산,Doosan
46,79229.0,유희관,40000.0,09두산,Doosan
47,62242.0,윤명준,11500.0,12두산,Doosan
