,p_number,name,salary
0,64706,이창열,3200만원
1,74163,이용규,70000만원
2,71610,김경언,20000만원
3,74756,박노민,4000만원
4,75808,정근우,70000만원
5,71752,김태균,160000만원
6,78745,정현석,9500만원
7,62700,하주석,3200만원
8,74729,최진행,18500만원
9,60667,이종환,6200만원
10,74148,이시찬,5100만원
11,61700,강경학,6500만원
12,63700,장운호,4200만원
13,73136,이성열,25000만원
14,64717,지성준,3000만원
15,76753,송광민,10000만원
16,76746,김태완,8000만원
17,98144,조인성,40000만원
18,64086,신성현,3700만원
19,95158,권용관,8000만원
20,65707,주현상,3700만원
21,79705,김회성,5500만원
22,60404,송주호,4000만원
23,77243,허도환,7500만원
24,76404,황선일,2800만원
25,74745,고동진,8000만원
26,76720,정범모,6000만원
27,72447,권혁,45000만원
28,62919,김기현,3300만원
29,65764,김민우,3800만원
30,79760,박성호,5000만원
31,99737,박정진,30000만원
32,64764,박한길,3000만원
33,73750,윤규진,17000만원
34,77464,임익준,3500만원
35,78760,정대훈,5100만원
