,p_number,name,salary,entry_yr,team
0,70410,김주찬,50000만원,00삼성,KIA
1,64699,필,900000달러,14KIA,KIA
2,65610,황대인,3000만원,15KIA,KIA
3,70756,이범호,65000만원,00한화,KIA
4,71207,김원섭,15000만원,01두산,KIA
5,72559,신종길,12000만원,02롯데,KIA
6,72303,김민우,12000만원,02현대,KIA
7,78629,나지완,20000만원,08KIA,KIA
8,78765,김다원,7000만원,10한화,KIA
9,78643,백용환,6000만원,08KIA,KIA
10,74605,김주형,5500만원,04KIA,KIA
11,78666,최용규,5000만원,08KIA,KIA
12,71184,이성우,6500만원,03상무,KIA
13,65653,김호령,6000만원,15KIA,KIA
14,63634,이홍구,7000만원,13KIA,KIA
15,61743,오준혁,3300만원,11한화,KIA
16,64610,강한울,6000만원,14KIA,KIA
17,60648,이인행,3000만원,10KIA,KIA
18,64646,박찬호,3700만원,14KIA,KIA
19,73602,차일목,15000만원,03KIA,KIA
20,62668,윤완주,3500만원,12KIA,KIA
21,64602,이은총,3000만원,14KIA,KIA
22,64657,박준태,3400만원,14KIA,KIA
23,60658,최병연,3000만원,15KIA,KIA
24,63636,고영우,3900만원,13KIA,KIA
25,77648,이호신,3600만원,07KIA,KIA
26,63704,노수광,3000만원,14한화,KIA
27,70142,김광수,10000만원,00LG,KIA
28,62349,김병현,15000만원,99애리조나,KIA
29,78823,김준,3200만원,08SK,KIA
30,71255,김태영,8800만원,01두산,KIA
31,65643,문경찬,2700만원,15KIA,KIA
32,65639,박정수,2700만원,15KIA,KIA
33,63638,박준표,4500만원,13KIA,KIA
34,60636,심동섭,14000만원,10KIA,KIA
35,75620,윤석민,125000만원,05KIA,KIA
36,75706,전현태,3500만원,05한화,KIA
37,97336,최영필,13000만원,97현대,KIA
38,76610,한기주,6500만원,06KIA,KIA
39,61666,한승혁,7000만원,11KIA,KIA
40,61643,홍건희,4500만원,11KIA,KIA
41,65696,김명찬,2900만원,15KIA,KIA
42,78823,김준,3200만원,08SK,KIA
43,77637,양현종,75000만원,07KIA,KIA
44,97336,최영필,13000만원,97현대,KIA
45,75620,윤석민,125000만원,05KIA,KIA
46,76610,한기주,6500만원,06KIA,KIA
47,72641,김진우,12000만원,02KIA,KIA
48,73632,임준혁,13000만원,03KIA,KIA
49,70142,김광수,10000만원,00LG,KIA
50,60636,심동섭,14000만원,10KIA,KIA
51,71255,김태영,8800만원,01두산,KIA
52,61666,한승혁,7000만원,11KIA,KIA
53,65639,박정수,2700만원,15KIA,KIA
54,61643,홍건희,4500만원,11KIA,KIA
55,63638,박준표,4500만원,13KIA,KIA
56,60634,임기준,3300만원,10KIA,KIA
57,62349,김병현,15000만원,99애리조나,KIA
58,61715,유창식,6000만원,11한화,KIA
59,76140,신창호,3700만원,06LG,KIA
60,65643,문경찬,2700만원,15KIA,KIA
61,65661,이종석,2700만원,15KIA,KIA
