,p_number,name,salary
0,77532,손아섭,60000만원
1,65523,아두치,780000달러
2,74540,강민호,100000만원
3,71552,최준석,40000만원
4,76509,김문호,7000만원
5,60523,정훈,21000만원
6,76313,황재균,50000만원
7,60558,오승택,7000만원
8,64504,오윤석,2700만원
9,77669,김주현,3300만원
10,71562,박종윤,16000만원
11,72546,문규현,9000만원
12,61554,김민하,4000만원
13,64022,안중열,4000만원
14,71565,이우민,7000만원
15,76536,손용석,3400만원
16,78850,오현근,3000만원
17,78536,김대우,3800만원
18,62558,김준태,3000만원
19,65513,김대륙,3200만원
20,65515,강동수,2900만원
21,65506,김재유,2900만원
22,64021,박세웅,5600만원
23,63512,박진형,2800만원
24,76540,배장호,4600만원
25,74167,심수창,25000만원
26,63935,이성민,9500만원
27,76435,이여상,3600만원
28,72551,이정민,6500만원
29,62655,홍성민,12000만원
30,78566,황진수,2800만원
