,p_number,name,salary
0,63512,박진형,2800만원
1,65509,차재용,2800만원
2,71801,정대현,32000만원
3,65543,린드블럼,1200000달러
4,65546,레일리,630000달러
5,62655,홍성민,12000만원
6,70615,강영식,30000만원
7,64047,조현우,2800만원
8,63935,이성민,9500만원
9,77591,송승준,40000만원
10,72535,이명우,15000만원
11,62528,김원중,3600만원
12,64021,박세웅,5600만원
13,72551,이정민,6500만원
14,74167,심수창,25000만원
15,77566,이재곤,3800만원
16,73248,김승회,22000만원
17,77563,이상화,5000만원
18,76540,배장호,4600만원
19,64594,심규범,2900만원
20,73241,정재훈,15000만원
21,73226,김성배,18000만원
22,64565,이인복,2900만원
23,63543,구승민,2900만원
24,61569,이경우,2800만원
25,74556,허준혁,3000만원
