,p_number,name,salary
0,74339,유한준,60000만원
1,65399,허정협,3000만원
2,61366,홍성갑,3200만원
3,73342,이택근,50000만원
4,61353,고종욱,7700만원
5,77564,김민성,22000만원
6,78168,서건창,26000만원
7,74215,윤석민,16000만원
8,64300,김하성,16000만원
9,79130,강지광,2700만원
10,63360,장시윤,3300만원
11,79365,박동원,14000만원
12,62332,김재현,4400만원
13,76368,유재신,6000만원
14,65357,송성문,3000만원
15,79356,박헌도,8000만원
16,76322,유선정,3900만원
17,61363,문우람,9000만원
18,79300,김지수,5500만원
19,73606,서동욱,5800만원
20,64346,임병욱,4000만원
21,79334,장영석,3300만원
22,63339,김민준,2700만원
23,65343,김택형,4400만원
24,72749,마정길,20000만원
25,60336,문성현,11000만원
26,75321,손승락,70000만원
27,62363,한현희,30000만원
