,p_number,name,salary
0,74402,이정식,4500만원
1,79465,배영섭,16000만원
2,62404,구자욱,8000만원
3,77463,채태인,30000만원
4,95436,이승엽,100000만원
5,74465,박석민,75000만원
6,72443,최형우,70000만원
7,79456,이지영,21000만원
8,71432,박한이,45000만원
9,62415,박해민,15000만원
10,79402,김상수,31000만원
11,60456,백상원,4500만원
12,63440,이흥련,7500만원
13,78467,이영욱,5500만원
14,62409,박찬도,3100만원
15,78454,우동균,5500만원
16,64499,김재현,4500만원
17,61463,김정혁,3300만원
18,64493,최선호,3500만원
19,74158,김태완,6000만원
20,64468,박계범,2900만원
21,61411,심창민,14000만원
22,65405,윤영수,2900만원
23,60724,이상훈,3500만원
24,95657,임창용,30000만원
25,79440,정인욱,6000만원
26,65447,최민구,2900만원
